,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2023-12-14 03:14:59,9.782021860716506e-08,5.767507029403853e-10,3.4104727322586214e-11,3.4104727322586214e-11
2023-12-14 03:29:59,9.430363181310419e-08,5.721033230223513e-10,4.15784415659849e-11,4.15784415659849e-11
2023-12-14 03:44:59,1.0513849783450082e-07,5.448409028071944e-10,4.0654928133652714e-11,4.0654928133652714e-11
2023-12-14 03:59:59,9.973402577491104e-08,5.529919911818492e-10,4.2203422794405505e-11,4.2203422794405505e-11
2023-12-14 04:14:59,9.831756312072105e-08,5.778247510116219e-10,4.5712908266732507e-11,4.5712908266732507e-11
2023-12-14 04:29:59,1.0030462548146545e-07,5.876298803752743e-10,4.6281230195214767e-11,4.6281230195214767e-11
2023-12-14 04:44:59,9.823179139656162e-08,6.756384947652616e-10,6.420075741133235e-11,6.420075741133235e-11
2023-12-14 04:59:59,9.14423242456175e-08,6.732638024890391e-10,6.265828948475814e-11,6.265828948475814e-11
2023-12-14 05:14:59,8.994453858060357e-08,5.366801052833773e-10,3.1991842798409126e-11,3.1991842798409126e-11
2023-12-14 05:29:59,9.298815390916411e-08,5.341220697355159e-10,3.528561851412874e-11,3.528561851412874e-11
2023-12-14 05:44:59,9.751715534846528e-08,6.073522155532893e-10,5.557820756147157e-11,5.557820756147157e-11
2023-12-14 05:59:59,9.660027943596134e-08,5.94979082676717e-10,5.244288178062423e-11,5.244288178062423e-11
2023-12-14 06:14:59,9.359250801964856e-08,5.533884137718932e-10,3.839263025732051e-11,3.839263025732051e-11
2023-12-14 06:29:59,9.24453878164449e-08,5.909111592650344e-10,4.863286161720295e-11,4.863286161720295e-11
2023-12-14 06:44:59,8.704221445207066e-08,5.748761763338821e-10,4.2152756192341606e-11,4.2152756192341606e-11
2023-12-14 06:59:59,9.07378716833069e-08,6.047901015655447e-10,5.047553303536194e-11,5.047553303536194e-11
2023-12-14 07:14:59,9.205661036612336e-08,6.471054904746607e-10,5.772969723614209e-11,5.772969723614209e-11
2023-12-14 07:29:59,9.094299167283571e-08,6.28613083970381e-10,5.395348922812659e-11,5.395348922812659e-11
2023-12-14 07:44:59,9.250941264232767e-08,5.874385690932915e-10,5.305032926837818e-11,5.305032926837818e-11
2023-12-14 07:59:59,9.098318760898762e-08,6.550236396082281e-10,6.424636735679508e-11,6.424636735679508e-11
2023-12-14 08:14:59,9.227905933547132e-08,6.913391029031924e-10,7.368915905959182e-11,7.368915905959182e-11
2023-12-14 08:29:59,8.43110899898212e-08,6.346014486039617e-10,6.601195176454725e-11,6.601195176454725e-11
2023-12-14 08:44:59,8.663470371957884e-08,6.823129250210908e-10,7.504994325550113e-11,7.504994325550113e-11
2023-12-14 08:59:59,9.32962094516275e-08,8.012880785159487e-10,9.359478530083505e-11,9.359478530083505e-11
2023-12-14 09:14:59,8.976614895786593e-08,7.540441641389773e-10,8.382653606010659e-11,8.382653606010659e-11
2023-12-14 09:29:59,9.050170013770659e-08,6.99488348849191e-10,7.444037064494428e-11,7.444037064494428e-11
2023-12-14 09:44:59,8.820374230505124e-08,5.652024958158336e-10,5.933397622634749e-11,5.933397622634749e-11
2023-12-14 09:59:59,8.763344475891832e-08,5.737725931468309e-10,6.254348794829392e-11,6.254348794829392e-11
2023-12-14 10:14:59,8.86206922870031e-08,5.896197173094353e-10,6.097036871653244e-11,6.097036871653244e-11
2023-12-14 10:29:59,8.50901726327281e-08,5.938216591160763e-10,5.354364200010817e-11,5.354364200010817e-11
2023-12-14 10:44:59,8.688083224632885e-08,6.089412822123365e-10,6.289460812837819e-11,6.289460812837819e-11
2023-12-14 10:59:59,8.915887227566717e-08,7.083014291809036e-10,8.422484720677522e-11,8.422484720677522e-11
2023-12-14 11:14:59,8.807649905833882e-08,7.431041874672865e-10,9.991316757267097e-11,9.991316757267097e-11
2023-12-14 11:29:59,8.185326066518765e-08,8.357836292296872e-10,1.2088115368853487e-10,1.2088115368853487e-10
2023-12-14 11:44:59,8.08762180714529e-08,8.204500883815222e-10,1.200606301700134e-10,1.200606301700134e-10
2023-12-14 11:59:59,8.325693211970351e-08,7.127954082053972e-10,1.0011840713557377e-10,1.0011840713557377e-10
2023-12-14 12:14:59,8.489466393344538e-08,6.881053531015057e-10,8.350367137844228e-11,8.350367137844228e-11
2023-12-14 12:29:59,8.364288274965742e-08,6.71361205317266e-10,7.772377257642068e-11,7.772377257642068e-11
2023-12-14 12:44:59,9.184815952346521e-08,6.873738038721053e-10,7.532259421996582e-11,7.532259421996582e-11
2023-12-14 12:59:59,8.442918200906899e-08,6.937167773479406e-10,7.811508251448785e-11,7.811508251448785e-11
2023-12-14 13:14:59,8.493233409013864e-08,6.836122853577439e-10,7.403588477415415e-11,7.403588477415415e-11
2023-12-14 13:29:59,8.534221609949552e-08,9.91561935163091e-10,1.0562079374458259e-10,1.0562079374458259e-10
2023-12-14 13:44:59,8.551305605974793e-08,8.666932699809982e-10,8.74962768649081e-11,8.74962768649081e-11
2023-12-14 13:59:59,8.468813883072924e-08,5.800604755735135e-10,5.449979942357905e-11,5.449979942357905e-11
2023-12-14 14:14:59,8.015779227469555e-08,5.348188889758367e-10,4.718841779434899e-11,4.718841779434899e-11
2023-12-14 14:29:59,7.77821249441302e-08,5.362655534306624e-10,5.6502651311477455e-11,5.6502651311477455e-11
2023-12-14 14:44:59,7.959103211980292e-08,7.573224012651476e-10,1.0408423079292898e-10,1.0408423079292898e-10
2023-12-14 14:59:59,8.062969810797771e-08,7.922992832246087e-10,1.0808999325216805e-10,1.0808999325216805e-10
2023-12-14 15:14:59,7.98309695846927e-08,9.3171189986947e-10,1.2920222543386082e-10,1.2920222543386082e-10
2023-12-14 15:29:59,8.35122382988907e-08,6.491009782592833e-10,7.669173719782414e-11,7.669173719782414e-11
2023-12-14 15:44:59,8.303649851150165e-08,6.538272811493856e-10,8.234653974992284e-11,8.234653974992284e-11
2023-12-14 15:59:59,8.21789844407479e-08,6.482652699677436e-10,7.99140465117247e-11,7.99140465117247e-11
2023-12-14 16:14:59,8.091085989966053e-08,6.004491151977196e-10,7.18982784255111e-11,7.18982784255111e-11
2023-12-14 16:29:59,7.992660311012107e-08,6.107126862583108e-10,6.06158231449441e-11,6.06158231449441e-11
2023-12-14 16:44:59,8.272192712994886e-08,6.608521024012523e-10,6.917105235935514e-11,6.917105235935514e-11
2023-12-14 16:59:59,8.144478067932975e-08,5.069241595218302e-10,3.9197580310381866e-11,3.9197580310381866e-11
2023-12-14 17:14:59,8.053271199349088e-08,4.557796486745513e-10,1.7755139394547e-11,1.7755139394547e-11
2023-12-14 17:29:59,7.944620944736053e-08,4.513526984931255e-10,2.3642824421102095e-11,2.3642824421102095e-11
2023-12-14 17:44:59,9.162298042660114e-08,6.974542578455027e-10,5.7231860399255615e-11,5.7231860399255615e-11
2023-12-14 17:59:59,8.905394039512199e-08,8.162883249751657e-10,8.227024020440489e-11,8.227024020440489e-11
2023-12-14 18:14:59,8.471600717085993e-08,7.980547081811763e-10,9.483759994025385e-11,9.483759994025385e-11
2023-12-14 18:29:59,8.14627434288028e-08,6.114849395416934e-10,6.317302502277733e-11,6.317302502277733e-11
2023-12-14 18:44:59,8.558047915732767e-08,6.842354140265653e-10,7.406986736261505e-11,7.406986736261505e-11
2023-12-14 18:59:59,8.709689858724397e-08,9.462180489795954e-10,1.3942737342895726e-10,1.3942737342895726e-10
2023-12-14 19:14:59,8.238795695761888e-08,1.0100895952258579e-09,1.404173599225188e-10,1.404173599225188e-10
2023-12-14 19:29:59,8.408392045995214e-08,3.0222464600468473e-09,8.497069690172804e-10,8.497069690172804e-10
2023-12-14 19:44:59,8.731714666853166e-08,2.7141290451542975e-09,7.524816076878582e-10,7.524816076878582e-10
2023-12-14 19:59:59,7.500383264980245e-08,6.706062139253683e-10,5.161244156138554e-11,5.161244156138554e-11
2023-12-14 20:14:59,7.816015719818544e-08,5.464673242077873e-10,2.1394496017890635e-11,2.1394496017890635e-11
2023-12-14 20:29:59,8.145252639251922e-08,5.57274255738206e-10,1.9996492111372434e-11,1.9996492111372434e-11
2023-12-14 20:44:59,8.066858715486537e-08,5.669213690977156e-10,2.959163246761194e-11,2.959163246761194e-11
2023-12-14 20:59:59,7.778626152729659e-08,5.87741055096618e-10,3.047658700299976e-11,3.047658700299976e-11
2023-12-14 21:14:59,7.628131162369552e-08,5.63071329747151e-10,2.1943513230719377e-11,2.1943513230719377e-11
2023-12-14 21:29:59,7.944922360058351e-08,6.04043371129504e-10,2.5691956338878092e-11,2.5691956338878092e-11
2023-12-14 21:44:59,8.049418820435066e-08,6.475403171129474e-10,3.538330479354282e-11,3.538330479354282e-11
2023-12-14 21:59:59,8.410427119076277e-08,5.982900673587703e-10,3.254570020861116e-11,3.254570020861116e-11
2023-12-14 22:14:59,8.509141080217801e-08,6.538706463462174e-10,3.862685890870665e-11,3.862685890870665e-11
2023-12-14 22:29:59,7.863177989343886e-08,7.180698687795553e-10,6.583921302596387e-11,6.583921302596387e-11
2023-12-14 22:44:59,8.142209988002806e-08,7.295598218570527e-10,6.267435093589158e-11,6.267435093589158e-11
2023-12-14 22:59:59,8.342622453321169e-08,6.387371271087013e-10,3.386287612800039e-11,3.386287612800039e-11
2023-12-14 23:14:59,8.050176142699953e-08,6.233368664877851e-10,3.6142414381681234e-11,3.6142414381681234e-11
2023-12-14 23:29:59,7.712950674042997e-08,5.973388469871491e-10,2.8260717744605752e-11,2.8260717744605752e-11
2023-12-14 23:44:59,8.016003377920562e-08,6.273007273445007e-10,2.968185630082654e-11,2.968185630082654e-11
2023-12-14 23:59:59,8.200350126301875e-08,6.237172012817872e-10,2.638508744770803e-11,2.638508744770803e-11
2023-12-15 00:14:59,8.141365874912545e-08,6.541233332621097e-10,3.3839336289700895e-11,3.3839336289700895e-11
2023-12-15 00:29:59,8.128230773905513e-08,6.787260665399517e-10,4.251451878920889e-11,4.251451878920889e-11
2023-12-15 00:44:59,8.25668184931116e-08,7.314223649938462e-10,4.186167688764715e-11,4.186167688764715e-11
